id_gameGenre,id_game,id_genre
1,761140,1
15,767400,1
18,773570,1
22,772540,1
41,768570,1
46,770380,1
78,640250,1
82,768060,1
87,711440,1
97,653960,1
101,282010,1
104,70,1
105,752360,1
108,594200,1
114,690410,1
118,413120,1
128,680970,1
131,754360,1
140,2400,1
154,541930,1
156,759920,1
160,659780,1
165,603280,1
172,753100,1
175,764280,1
188,3800,1
191,2420,1
207,6510,1
211,6310,1
221,8000,1
223,6550,1
224,8200,1
226,2290,1
229,8210,1
231,2280,1
232,9160,1
233,2300,1
234,2270,1
235,9010,1
236,9040,1
237,9000,1
238,3810,1
239,9030,1
240,2310,1
243,7670,1
250,12170,1
251,12180,1
252,12130,1
254,12150,1
255,7000,1
257,12140,1
264,12530,1
268,8100,1
269,2780,1
271,9710,1
272,9800,1
274,9760,1
277,2710,1
278,13200,1
279,13250,1
282,13560,1
283,13520,1
284,13240,1
285,13540,1
298,15080,1
319,19200,1
328,20510,1
330,17330,1
331,17300,1
333,20900,1
340,19830,1
341,21000,1
347,15390,1
352,19800,1
356,19810,1
359,2820,1
362,1230,1
368,12200,1
370,19900,1
371,11240,1
381,9480,1
382,17470,1
384,17410,1
388,16450,1
393,11340,1
396,23460,1
400,21010,1
401,22180,1
404,13210,1
411,90047,1
412,26000,1
414,26006,1
416,26005,1
436,7510,1
439,22200,1
454,1280,1
456,10150,1
472,22340,1
490,900883,1
505,21980,1
515,21660,1
516,6080,1
522,6090,1
523,6060,1
525,32330,1
529,35310,1
535,10130,1
537,1256,1
538,10120,1
543,21680,1
544,21670,1
546,21030,1
547,36000,1
555,38430,1
564,38440,1
568,35050,1
575,13570,1
576,11390,1
581,35000,1
592,32770,1
601,24840,1
607,39560,1
614,41100,1
616,39540,1
623,41000,1
627,37100,1
633,10180,1
645,41900,1
648,35420,1
649,32430,1
660,45700,1
662,46410,1
666,17570,1
682,44100,1
686,46250,1
688,10695,1
689,41050,1
692,48700,1
694,39900,1
695,49900,1
697,42120,1
698,12220,1
699,45730,1
702,49600,1
711,39640,1
712,39630,1
728,19080,1
731,31700,1
733,19030,1
736,49800,1
739,901478,1
743,34281,1
744,34272,1
745,34270,1
749,34276,1
750,34274,1
752,34277,1
753,34273,1
754,34280,1
762,34282,1
763,34279,1
764,34010,1
766,22610,1
773,630,1
781,34920,1
786,28000,1
792,50130,1
796,50510,1
807,65700,1
812,28010,1
813,28012,1
815,28011,1
819,50145,1
820,34841,1
821,70300,1
824,57300,1
829,46600,1
832,34314,1
834,34310,1
841,34284,1
847,41060,1
851,9940,1
853,22650,1
854,901553,1
855,50620,1
860,29700,1
878,47790,1
882,45750,1
